iteration,wall_time,loop_time,dt_since_last,new_inference,horizon,inference_latency_s,action_idx,state_left_arm_0,state_left_arm_1,state_left_arm_2,state_left_arm_3,state_left_arm_4,state_left_arm_5,state_left_arm_6,state_left_hand_0,state_left_hand_1,state_left_hand_2,state_left_hand_3,state_left_hand_4,state_left_hand_5,state_left_hand_6,state_right_arm_0,state_right_arm_1,state_right_arm_2,state_right_arm_3,state_right_arm_4,state_right_arm_5,state_right_arm_6,state_right_hand_0,state_right_hand_1,state_right_hand_2,state_right_hand_3,state_right_hand_4,state_right_hand_5,state_right_hand_6,target_left_arm_0,target_left_arm_1,target_left_arm_2,target_left_arm_3,target_left_arm_4,target_left_arm_5,target_left_arm_6,target_left_hand_0,target_left_hand_1,target_left_hand_2,target_left_hand_3,target_left_hand_4,target_left_hand_5,target_left_hand_6,target_right_arm_0,target_right_arm_1,target_right_arm_2,target_right_arm_3,target_right_arm_4,target_right_arm_5,target_right_arm_6,target_right_hand_0,target_right_hand_1,target_right_hand_2,target_right_hand_3,target_right_hand_4,target_right_hand_5,target_right_hand_6
0,1783685851.982234,366952.618659,0.000000,1,16,0.078148,0,0.4144633114337921,0.17775005102157593,0.1530895084142685,-0.6489447951316833,-0.24780592322349548,0.08144386112689972,0.07574090361595154,2.010531943597016e-06,4.2501426378294127e-07,2.010707476074458e-06,4.24999058168396e-07,-0.001239095232449472,-0.0011386837577447295,-2.87238322016492e-06,0.2502998113632202,-0.29441818594932556,0.1593056619167328,-0.7061284780502319,0.258859246969223,0.10274206101894379,-0.20227475464344025,-6.3185116232489236e-06,0.0012285230914130807,-6.325707090582e-06,-1.1859062851726776e-06,-0.0004597054503392428,0.0029265410266816616,5.348757895262679e-06,0.3561899960041046,0.19679929316043854,0.15862804651260376,-0.7305549383163452,-0.21918749809265137,0.027959829196333885,0.09390584379434586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221085786819458,-0.29390326142311096,0.08626475930213928,-0.8270161151885986,0.22854627668857574,0.10684092342853546,-0.22007030248641968,0.0029296875,0.0,0.0,0.0,0.0023658310528844595,0.0,0.0
1,1783685851.982495,366952.619015,0.000356,0,,,1,0.41446182131767273,0.17775031924247742,0.15308944880962372,-0.6489439010620117,-0.24780604243278503,0.08144473284482956,0.07574106007814407,2.004423322432558e-06,4.2383666709611134e-07,2.0042900814587483e-06,4.237629696035583e-07,-0.001243536127731204,-0.0011513537028804421,-2.866419663405395e-06,0.2502984404563904,-0.29441800713539124,0.15930597484111786,-0.7061272263526917,0.2588594853878021,0.10274317115545273,-0.202274888753891,-6.318175110209268e-06,0.001234409399330616,-6.325376489257906e-06,-1.1855993307108292e-06,-0.00046153608127497137,0.00294685922563076,5.342757958715083e-06,0.35764724016189575,0.19388574361801147,0.1554555594921112,-0.7265315055847168,-0.21837827563285828,0.02654838189482689,0.09207139164209366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2326662540435791,-0.2948564887046814,0.08240649104118347,-0.8310935497283936,0.23130947351455688,0.10909075289964676,-0.23885001242160797,0.0,0.0,0.0,0.0,0.00113554741255939,0.0,0.0
2,1783685852.004038,366952.640451,0.021436,0,,,2,0.4144582450389862,0.17775090038776398,0.15308915078639984,-0.648942232131958,-0.24780625104904175,0.08144637197256088,0.0757412314414978,1.9960893951065373e-06,4.2223518903483637e-07,1.995613274630159e-06,4.220970595270046e-07,-0.00124958751257509,-0.0011686378857120872,-2.8585814106918406e-06,0.25029510259628296,-0.29441770911216736,0.1593063771724701,-0.7061246037483215,0.25885990262031555,0.10274535417556763,-0.20227517187595367,-6.3179113567457534e-06,0.001242463942617178,-6.325135927909287e-06,-1.1852329180328525e-06,-0.00046403444139286876,0.0029746093787252903,5.334904017217923e-06,0.35764724016189575,0.19388574361801147,0.15466243028640747,-0.7249221801757812,-0.2151414453983307,0.03642851486802101,0.09757473319768906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22494594752788544,-0.29295000433921814,0.08626475930213928,-0.8351709842681885,0.22854627668857574,0.10459110140800476,-0.2334843873977661,0.0,0.0,0.0,0.0,-0.0017351144924759865,0.0,0.0
3,1783685852.054002,366952.690433,0.049982,0,,,3,0.40595585107803345,0.17802540957927704,0.1512184888124466,-0.6468480229377747,-0.2461244761943817,0.08280624449253082,0.07720491290092468,3.4243812478962354e-06,6.647069881182688e-07,3.1127644888329087e-06,6.073291274333315e-07,-0.001254522823728621,-0.0011936472728848457,-3.7095708194101462e-06,0.25114524364471436,-0.2927783131599426,0.15204329788684845,-0.7130541801452637,0.2582928240299225,0.11309859901666641,-0.20474262535572052,1.0673276847228408e-05,0.0012476131087169051,8.11382142273942e-06,1.154274968939717e-06,-0.0004667273024097085,0.0030033348593860865,6.002207101118984e-06,0.35473278164863586,0.19582810997962952,0.14990371465682983,-0.7245197892189026,-0.21311840415000916,0.035017069429159164,0.09390584379434586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2326662540435791,-0.29104354977607727,0.08240649104118347,-0.8392484784126282,0.2395990490913391,0.11809004843235016,-0.22811874747276306,0.005859375,0.005859375,0.0025952463038265705,0.0,-0.0013250198680907488,0.0,-0.0027343749534338713
4,1783685852.103995,366952.740464,0.050031,0,,,4,0.38344714045524597,0.178985595703125,0.14568229019641876,-0.6447835564613342,-0.23842138051986694,0.08548084646463394,0.08348675817251205,8.519125913153403e-06,1.5176002534644795e-06,8.451197572867386e-06,1.4987100485086557e-06,-0.0012611239217221737,-0.0012176198652014136,-3.5529119486454874e-06,0.24922649562358856,-0.288875013589859,0.12730395793914795,-0.732529878616333,0.25403180718421936,0.1361089050769806,-0.21459278464317322,2.840456181729678e-05,0.0012454475509002805,2.3242626411956735e-05,3.428710215302999e-06,-0.00048315030289813876,0.0030351353343576193,5.577386218647007e-06,0.3503611385822296,0.19679929316043854,0.142765611410141,-0.7309572696685791,-0.20988155901432037,0.04489720240235329,0.10307807475328445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221085786819458,-0.2891370952129364,0.07083167135715485,-0.8433259129524231,0.24788862466812134,0.12933917343616486,-0.2308015674352646,0.005859375,0.005859375,0.0,0.0,-0.0017351144924759865,-0.0013671874767169356,0.0
5,1783685852.153875,366952.790386,0.049922,0,,,5,0.37474191188812256,0.1803494244813919,0.14164891839027405,-0.64476478099823,-0.23432280123233795,0.08639837801456451,0.0857723131775856,7.298676337086363e-06,1.313690745519125e-06,7.3121473178616725e-06,1.3155605529391323e-06,-0.0012650954304262996,-0.0012253550812602043,-2.963252654808457e-06,0.24836891889572144,-0.286825567483902,0.11510990560054779,-0.7443521618843079,0.2528544068336487,0.14501313865184784,-0.21873106062412262,2.4993796614580788e-05,0.0012526547070592642,1.305532168771606e-05,5.354440304472519e-07,-0.0005053742206655443,0.003047236707061529,1.3536323422158603e-06,0.3503611385822296,0.19582810997962952,0.14435185492038727,-0.728543221950531,-0.20947696268558502,0.05054299533367157,0.10491251945495605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21722564101219177,-0.2891370952129364,0.06697340309619904,-0.8351709842681885,0.22854627668857574,0.13608865439891815,-0.22811874747276306,0.0029296875,0.005859375,0.0,0.0029296875,-0.0013250198680907488,0.0,0.0
6,1783685852.204043,366952.840420,0.050034,0,,,6,0.36657047271728516,0.18215614557266235,0.13363578915596008,-0.6453967690467834,-0.22875788807868958,0.09025462716817856,0.09005258977413177,2.9918819564045407e-06,5.978994863653497e-07,2.9089092095091473e-06,5.938285880802141e-07,-0.0012704432010650635,-0.0012417896650731564,-2.9015616291871993e-06,0.24449442327022552,-0.28381580114364624,0.10182014107704163,-0.7573217749595642,0.25252392888069153,0.15904609858989716,-0.22244210541248322,3.970363468397409e-05,0.0012754198396578431,1.6354092622350436e-06,-7.303304414563172e-07,-0.0005361848161555827,0.0030736434273421764,1.4845368241367396e-06,0.3503611385822296,0.1948569267988205,0.14236904680728912,-0.7317619919776917,-0.2119046002626419,0.05336588993668556,0.10307807475328445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21336548030376434,-0.29009032249450684,0.06311513483524323,-0.8433259129524231,0.24236224591732025,0.15183742344379425,-0.2334843873977661,0.0029296875,0.01171875,0.005190492607653141,0.0,-0.0009149253601208329,-0.0013671874767169356,-0.0027343749534338713
7,1783685852.254005,366952.890435,0.050016,0,,,7,0.36441755294799805,0.18236900866031647,0.1301547884941101,-0.6456691026687622,-0.22658753395080566,0.0936972126364708,0.09210483729839325,-3.916812602255959e-06,-4.4799239162784943e-07,-3.7537840853474336e-06,-4.0621480934532883e-07,-0.001273823669180274,-0.0012532148975878954,-2.961922518807114e-06,0.24049530923366547,-0.28281715512275696,0.09654273092746735,-0.759040892124176,0.25147661566734314,0.16579850018024445,-0.2233496755361557,4.6943765482865274e-05,0.001290704938583076,-3.5407213090365985e-06,3.777519395953277e-06,-0.0005546904285438359,0.003090532496571541,2.911961928475648e-06,0.345989465713501,0.19874165952205658,0.14038625359535217,-0.7309572696685791,-0.20441938936710358,0.06606891751289368,0.11225029826164246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.221085786819458,-0.2862773835659027,0.06311513483524323,-0.8474034070968628,0.23407267034053802,0.17883531749248505,-0.2415328323841095,0.0,0.0087890625,0.0,0.0,-0.002145209116861224,0.0,-0.0013671874767169356
8,1783685852.304057,366952.940467,0.050032,0,,,8,0.3637341558933258,0.18248522281646729,0.1279997080564499,-0.6459840536117554,-0.22468844056129456,0.10015703737735748,0.09469236433506012,-1.2308019904594403e-05,-1.6596006844338262e-06,-1.1572394214454107e-05,-1.5235389128065435e-06,-0.0012798404786735773,-0.0012755891075357795,-3.1930401291901944e-06,0.2356986254453659,-0.28229930996894836,0.09074302017688751,-0.7603186368942261,0.250322163105011,0.18145570158958435,-0.2257368117570877,5.401582893682644e-05,0.001338177127763629,6.72261785439332e-06,8.762340257817414e-06,-0.000582725799176842,0.0031151887960731983,-1.2434545624273596e-06,0.345989465713501,0.19679929316043854,0.14157593250274658,-0.7297502756118774,-0.20704932510852814,0.0576002337038517,0.11225029826164246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20178501307964325,-0.28723061084747314,0.06311513483524323,-0.8351709842681885,0.2395990490913391,0.16533637046813965,-0.24689845740795135,0.0,0.0,0.0,0.0,-0.005015871021896601,0.0,0.0
9,1783685852.354031,366952.990465,0.049999,0,,,9,0.3622775077819824,0.1835210621356964,0.1268915832042694,-0.6461647152900696,-0.22150921821594238,0.10866142809391022,0.09975926578044891,-1.2968687769898679e-05,-1.594536229276855e-06,-1.1872401955770329e-05,-1.406032652084832e-06,-0.0012860912829637527,-0.0013003862695768476,-3.3805606562964385e-06,0.23491203784942627,-0.2803170382976532,0.0888388454914093,-0.763218879699707,0.24960198998451233,0.2014756053686142,-0.2309437096118927,5.063872231403366e-05,0.001379216555505991,7.171134257077938e-06,7.5315147114451975e-06,-0.0006243337411433458,0.0031422895845025778,-2.93582206722931e-06,0.3503611385822296,0.19777047634124756,0.13919655978679657,-0.7349807024002075,-0.21230919659137726,0.06183457747101784,0.10858140885829926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20564517378807068,-0.2891370952129364,0.06697340309619904,-0.8310935497283936,0.25065183639526367,0.14508794248104095,-0.2415328323841095,0.0029296875,0.0,0.0,0.0,-0.0037855871487408876,0.0,0.0
