iteration,wall_time,loop_time,dt_since_last,new_inference,horizon,inference_latency_s,action_idx,state_left_arm_0,state_left_arm_1,state_left_arm_2,state_left_arm_3,state_left_arm_4,state_left_arm_5,state_left_arm_6,state_left_hand_0,state_left_hand_1,state_left_hand_2,state_left_hand_3,state_left_hand_4,state_left_hand_5,state_left_hand_6,state_right_arm_0,state_right_arm_1,state_right_arm_2,state_right_arm_3,state_right_arm_4,state_right_arm_5,state_right_arm_6,state_right_hand_0,state_right_hand_1,state_right_hand_2,state_right_hand_3,state_right_hand_4,state_right_hand_5,state_right_hand_6,target_left_arm_0,target_left_arm_1,target_left_arm_2,target_left_arm_3,target_left_arm_4,target_left_arm_5,target_left_arm_6,target_left_hand_0,target_left_hand_1,target_left_hand_2,target_left_hand_3,target_left_hand_4,target_left_hand_5,target_left_hand_6,target_right_arm_0,target_right_arm_1,target_right_arm_2,target_right_arm_3,target_right_arm_4,target_right_arm_5,target_right_arm_6,target_right_hand_0,target_right_hand_1,target_right_hand_2,target_right_hand_3,target_right_hand_4,target_right_hand_5,target_right_hand_6,rtc_applied,frozen_steps_used,executed_steps_sent,latency_ema_s,swap_offset
0,1784629183.1570287,98944.793657466,0.0,0,,,0,-0.12867283821105957,0.18566031754016876,-0.1588045209646225,-0.1413385272026062,0.07839297503232956,-0.057968493551015854,0.3783378303050995,-0.0020355021115392447,-0.00028037585434503853,-0.0020309577230364084,-0.0002796431945171207,-0.0011605913750827312,-0.00450720451772213,-7.138575256249169e-06,0.12721629440784454,-0.19378869235515594,-0.10207504779100418,-0.4230883717536926,0.09123794734477997,0.04541502892971039,-0.10280024260282516,0.0027300426736474037,0.003887795377522707,0.003664866089820862,0.005113779567182064,-0.000426962214987725,0.002702632686123252,-0.0006526221404783428,-0.14509329199790955,0.19097217917442322,-0.15624120831489563,-0.2232002466917038,0.04542453959584236,-0.07366441190242767,0.383748322725296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091412901878357,-0.21001885831356049,-0.1490897685289383,-0.5701360106468201,0.04893871769309044,0.06184443086385727,-0.07251539826393127,0.0,0.0,0.0,0.0,0.001955736428499222,0.0,0.0,,,,,
1,1784629183.2071347,98944.843763453,0.05010598700027913,0,,,1,-0.12866604328155518,0.18565966188907623,-0.15880660712718964,-0.14134348928928375,0.07839459180831909,-0.05797332897782326,0.3783389627933502,-0.002052354160696268,-0.0002826994750648737,-0.002047834452241659,-0.0002819704241119325,-0.0011676741996780038,-0.004543105605989695,-7.150231340347091e-06,0.12722401320934296,-0.19378916919231415,-0.10207744687795639,-0.42309218645095825,0.09123804420232773,0.0454123318195343,-0.10280227661132812,0.0027515569236129522,0.003918268717825413,0.003693794133141637,0.005153868813067675,-0.0004296527476981282,0.002724055666476488,-0.0006577689782716334,-0.13634997606277466,0.19291454553604126,-0.15941369533538818,-0.23285648226737976,0.035714004188776016,-0.05954993516206741,0.3920033276081085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08984050899744034,-0.21097208559513092,-0.13751496374607086,-0.5456712245941162,0.03235955908894539,0.05059530586004257,-0.06714976578950882,0.0,0.0,0.0,0.0,0.007697060238569975,0.0,0.0,,,,,
2,1784629183.257068,98944.893696871,0.049933418005821295,0,,,2,-0.12581488490104675,0.18561773002147675,-0.15962041914463043,-0.14329968392848969,0.07441261410713196,-0.05500547215342522,0.3783392608165741,-0.00206288555637002,-0.0002841581590473652,-0.0020596778485924006,-0.0002836033527273685,-0.0011723344214260578,-0.00456093018874526,-6.572440724994522e-06,0.12933391332626343,-0.19376018643379211,-0.10510589182376862,-0.4343717098236084,0.08744402974843979,0.05883455649018288,-0.09796097874641418,0.0027669360861182213,0.003927594516426325,0.0037077839951962233,0.0051651946268975735,-0.00043032877147197723,0.0027362911496311426,-0.0006582937785424292,-0.13634997606277466,0.19388574361801147,-0.1657586693763733,-0.22641900181770325,0.04218769446015358,-0.0651957243680954,0.3883344531059265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09370066970586777,-0.21097208559513092,-0.13365668058395386,-0.5823683738708496,0.07104426622390747,0.09109215438365936,-0.0751982182264328,0.0,0.0,0.0,0.0,-0.002145209116861224,0.0,0.0,,,,,
3,1784629183.3072102,98944.943838934,0.05014206300256774,0,,,3,-0.11206281930208206,0.18559154868125916,-0.16453123092651367,-0.1465557962656021,0.05961596965789795,-0.04037166386842728,0.37890467047691345,-0.002071622759103775,-0.00028524341178126633,-0.002068394562229514,-0.0002846450370270759,-0.0011785503011196852,-0.004584579728543758,-6.019427473802352e-06,0.12852303683757782,-0.19431506097316742,-0.11492707580327988,-0.460143506526947,0.07220350950956345,0.08226260542869568,-0.08552756905555725,0.0027800574898719788,0.003909896593540907,0.0037140764761716127,0.005140430293977261,-0.0003998585161752999,0.0027788213919848204,-0.0006459933356381953,-0.13343553245067596,0.1900009959936142,-0.15624120831489563,-0.23929397761821747,0.034095581620931625,-0.051081251353025436,0.3901688754558563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07826004177331924,-0.21287855505943298,-0.12979841232299805,-0.5660585761070251,0.043412331491708755,0.06859390437602997,-0.0604427270591259,0.0,0.0,0.0,0.0,0.003186020301654935,0.0,0.0,,,,,
4,1784629183.3572812,98944.993910098,0.05007116399065126,0,,,4,-0.10483179241418839,0.18564024567604065,-0.16920454800128937,-0.1465689241886139,0.0528164803981781,-0.030839858576655388,0.3793165981769562,-0.0020795681048184633,-0.0002862963592633605,-0.002075346652418375,-0.0002855550264939666,-0.0011831186711788177,-0.004601860418915749,-6.0712036429322325e-06,0.12373854964971542,-0.1951562762260437,-0.1167239099740982,-0.4687487483024597,0.06801290810108185,0.09376605600118637,-0.0821438580751419,0.0027715195901691914,0.0038958110380917788,0.0037064850330352783,0.005122567526996136,-0.0003774645156227052,0.0027953844983130693,-0.0006397647666744888,-0.13634997606277466,0.1900009959936142,-0.16099993884563446,-0.23929397761821747,0.029240315780043602,-0.04402400925755501,0.3929205536842346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10142097622156143,-0.21383178234100342,-0.13751496374607086,-0.574213445186615,0.06275468319654465,0.08209285140037537,-0.07251539826393127,0.005859375,0.0,0.0,0.0,0.00113554741255939,0.0,0.0,,,,,
5,1784629183.4071827,98945.043811255,0.04990115700638853,0,,,5,-0.09811371564865112,0.18546052277088165,-0.17471106350421906,-0.14615459740161896,0.045846011489629745,-0.01943363808095455,0.3795027732849121,-0.0021017342805862427,-0.0002895447250921279,-0.00209787767380476,-0.0002888780436478555,-0.0011911207111552358,-0.004636421333998442,-6.622160526603693e-06,0.11768070608377457,-0.19553805887699127,-0.11650940775871277,-0.48341962695121765,0.06684710830450058,0.11062555015087128,-0.0763942301273346,0.0027761615347117186,0.003876538248732686,0.0037063010968267918,0.005096455570310354,-0.0003911514359060675,0.0028245504945516586,-0.000629579066298902,-0.1378071904182434,0.1900009959936142,-0.1657586693763733,-0.25055956840515137,0.02600347064435482,-0.034143876284360886,0.3956722319126129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09370066970586777,-0.21383178234100342,-0.12979841232299805,-0.5660585761070251,0.04893871769309044,0.07984302937984467,-0.03227315470576286,0.0,0.0,0.0,0.0,0.00113554741255939,0.0,0.0,,,,,
6,1784629183.4570615,98945.093690351,0.049879095997312106,0,,,6,-0.09675350040197372,0.18469995260238647,-0.17504777014255524,-0.14677642285823822,0.04064952954649925,-0.01090133748948574,0.37967827916145325,-0.002121706958860159,-0.00029254541732370853,-0.0021180605981498957,-0.00029192311922088265,-0.00119688268750906,-0.004658367019146681,-6.600404958589934e-06,0.11335711181163788,-0.19655312597751617,-0.11624739319086075,-0.4863087236881256,0.06488651037216187,0.11456269770860672,-0.07215883582830429,0.0027920773718506098,0.0038637772668153048,0.003712726989760995,0.005078689660876989,-0.0003825771564152092,0.0028415974229574203,-0.0006227404228411615,-0.1378071904182434,0.1900009959936142,-0.16417242586612701,-0.25055956840515137,0.022766627371311188,-0.03132098168134689,0.4039272367954254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0975608229637146,-0.21383178234100342,-0.14137323200702667,-0.574213445186615,0.05584670230746269,0.08659250289201736,-0.045687235891819,0.005859375,0.0,0.0,0.0,-0.002965398132801056,0.0,0.0,,,,,
7,1784629183.5072663,98945.143894958,0.05020460700325202,0,,,7,-0.09665008634328842,0.1845482438802719,-0.17534439265727997,-0.1510063111782074,0.03419547528028488,0.00014290487160906196,0.3815428614616394,-0.002134050941094756,-0.0002942667924799025,-0.0021309577859938145,-0.00029374341829679906,-0.0012046489864587784,-0.004680899437516928,-6.098779067542637e-06,0.11732377856969833,-0.19757671654224396,-0.11618288606405258,-0.4902021288871765,0.0642404556274414,0.12084808945655823,-0.06496255099773407,0.002822000300511718,0.003845474449917674,0.0037166422698646784,0.005053455010056496,-0.0003830217756330967,0.002861013635993004,-0.000614165619481355,-0.13926440477371216,0.1900009959936142,-0.16893115639686584,-0.25055956840515137,0.02762189321219921,-0.029909532517194748,0.4020927846431732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08212020248174667,-0.21287855505943298,-0.14137323200702667,-0.574213445186615,0.06275468319654465,0.09784162789583206,-0.028248930349946022,0.0,0.0,0.0,0.0,-0.0005048307939432561,0.0,0.0,,,,,
8,1784629183.5570993,98945.193728045,0.04983308698865585,0,,,8,-0.09679064899682999,0.18446634709835052,-0.176001638174057,-0.15656778216362,0.030326155945658684,0.006834868341684341,0.383705735206604,-0.0021422547288239002,-0.000295408972306177,-0.0021393769420683384,-0.00029492878820747137,-0.0012100104941055179,-0.004693906754255295,-5.708522621716838e-06,0.1185838133096695,-0.1977684199810028,-0.11604617536067963,-0.49010053277015686,0.06349179893732071,0.12581421434879303,-0.05528821051120758,0.0028395685367286205,0.0038328946102410555,0.0037240737583488226,0.005036013200879097,-0.0003933726402465254,0.0028830936644226313,-0.0006065945490263402,-0.13634997606277466,0.1900009959936142,-0.1721036434173584,-0.253778338432312,0.02600347064435482,-0.02567518875002861,0.4057616889476776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08984050899744034,-0.21192532777786255,-0.13365668058395386,-0.5619810819625854,0.06828106939792633,0.10009144991636276,-0.03763878718018532,0.005859375,0.0,0.0,0.0029296875,0.0007254528463818133,0.0,0.0,,,,,
9,1784629183.6071649,98945.24379365,0.05006560501351487,0,,,9,-0.09727389365434647,0.18438400328159332,-0.17657746374607086,-0.16029728949069977,0.027836626395583153,0.01075364276766777,0.3863137364387512,-0.0021513444371521473,-0.0002967223699670285,-0.002147926716133952,-0.0002961621794383973,-0.001214238116517663,-0.004706030245870352,-5.5502077884739265e-06,0.11936535686254501,-0.19786009192466736,-0.11622198671102524,-0.49018755555152893,0.06316199153661728,0.1307583451271057,-0.050490688532590866,0.002867896808311343,0.0038226195611059666,0.0037344000302255154,0.005021446850150824,-0.0004175539070274681,0.002902513835579157,-0.00059994135517627,-0.1348927617073059,0.1900009959936142,-0.17686237394809723,-0.25538769364356995,0.022766627371311188,-0.02285229228436947,0.4085133373737335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0859803557395935,-0.21478502452373505,-0.14137323200702667,-0.5660585761070251,0.07104426622390747,0.10459110140800476,-0.04300441965460777,0.005859375,0.0,0.0,0.0,-0.0013250198680907488,0.0,0.0,,,,,
